image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000001000.jpg,P1_Chef,P5_Urgent,0.15436241610738255,0.07547169811320754,0.5368889570236206
000000001000.jpg,P1_Chef,P6_Leisure,0.06837606837606838,0.024691358024691357,0.5106480717658997
000000001000.jpg,P2_Security,P3_Child,0.1328125,0.05434782608695652,0.5800849795341492
000000001000.jpg,P2_Security,P4_Mobility,0.16923076923076924,0.11494252873563218,0.6414381265640259
000000001000.jpg,P2_Security,P5_Urgent,0.1956521739130435,0.1111111111111111,0.7781882286071777
000000001000.jpg,P2_Security,P6_Leisure,0.1346153846153846,0.06756756756756757,0.5948166251182556
000000001000.jpg,P3_Child,P4_Mobility,0.125,0.053763440860215055,0.49312901496887207
000000001000.jpg,P3_Child,P5_Urgent,0.12162162162162163,0.05714285714285714,0.5995820760726929
000000001000.jpg,P3_Child,P6_Leisure,0.10185185185185185,0.06666666666666667,0.61464524269104
000000001000.jpg,P4_Mobility,P5_Urgent,0.13815789473684212,0.037383177570093455,0.6283664107322693
000000001000.jpg,P4_Mobility,P6_Leisure,0.11504424778761062,0.05263157894736842,0.6450427174568176
000000001000.jpg,P5_Urgent,P6_Leisure,0.12096774193548387,0.0449438202247191,0.655766487121582
000000001268.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.10301190614700317
000000001268.jpg,P0_Neutral,P2_Security,0.13953488372093023,0.06716417910447761,0.3920867145061493
000000001268.jpg,P0_Neutral,P3_Child,0.10919540229885058,0.056451612903225805,0.5518167018890381
000000001268.jpg,P0_Neutral,P4_Mobility,0.10344827586206896,0.05084745762711865,0.3095231056213379
000000001268.jpg,P0_Neutral,P5_Urgent,0.09701492537313433,0.028846153846153848,0.2606624662876129
000000001268.jpg,P0_Neutral,P6_Leisure,0.11494252873563218,0.05517241379310345,0.6415193676948547
000000001268.jpg,P1_Chef,P2_Security,0.0,0.0,0.03285947069525719
000000001268.jpg,P1_Chef,P3_Child,0.0,0.0,0.16371838748455048
000000001268.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.04420315846800804
000000001268.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.011669948697090149
000000001268.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.07988269627094269
000000001268.jpg,P2_Security,P3_Child,0.12578616352201258,0.04672897196261682,0.19757738709449768
000000001268.jpg,P2_Security,P4_Mobility,0.10606060606060606,0.039603960396039604,0.4145243763923645
000000001268.jpg,P2_Security,P5_Urgent,0.1565217391304348,0.060240963855421686,0.5155547857284546
000000001268.jpg,P2_Security,P6_Leisure,0.10429447852760736,0.046875,0.2310466766357422
000000001268.jpg,P3_Child,P4_Mobility,0.06716417910447761,0.02197802197802198,0.11178701370954514
000000001268.jpg,P3_Child,P5_Urgent,0.13043478260869565,0.0410958904109589,0.11014208197593689
000000001268.jpg,P3_Child,P6_Leisure,0.07926829268292683,0.042735042735042736,0.5264513492584229
000000001268.jpg,P4_Mobility,P5_Urgent,0.10227272727272728,0.014705882352941176,0.1825803518295288
000000001268.jpg,P4_Mobility,P6_Leisure,0.08270676691729323,0.026785714285714284,0.21923819184303284
000000001268.jpg,P5_Urgent,P6_Leisure,0.056451612903225805,0.010309278350515464,0.08661051094532013
000000001296.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.08149480819702148
000000001296.jpg,P0_Neutral,P2_Security,0.11801242236024845,0.05511811023622047,0.5387515425682068
000000001296.jpg,P0_Neutral,P3_Child,0.09740259740259741,0.0603448275862069,0.41411930322647095
000000001296.jpg,P0_Neutral,P4_Mobility,0.0,0.0,0.08149480819702148
000000001296.jpg,P0_Neutral,P5_Urgent,0.11979166666666667,0.08441558441558442,0.6319978833198547
000000001296.jpg,P0_Neutral,P6_Leisure,0.11494252873563218,0.04697986577181208,0.5905777812004089
000000001296.jpg,P1_Chef,P2_Security,0.0,0.0,0.08699680119752884
000000001296.jpg,P1_Chef,P3_Child,0.0,0.0,0.0894879698753357
000000001296.jpg,P1_Chef,P4_Mobility,0.0,0.0,1.0
000000001296.jpg,P1_Chef,P5_Urgent,0.0,0.0,0.05073956400156021
000000001296.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.11810938268899918
000000001296.jpg,P2_Security,P3_Child,0.12804878048780488,0.064,0.49594324827194214
000000001296.jpg,P2_Security,P4_Mobility,0.0,0.0,0.08699680119752884
000000001296.jpg,P2_Security,P5_Urgent,0.19072164948453607,0.12738853503184713,0.7555420994758606
000000001296.jpg,P2_Security,P6_Leisure,0.11702127659574468,0.07096774193548387,0.5923087000846863
000000001296.jpg,P3_Child,P4_Mobility,0.0,0.0,0.0894879698753357
000000001296.jpg,P3_Child,P5_Urgent,0.13989637305699482,0.08496732026143791,0.6075670719146729
000000001296.jpg,P3_Child,P6_Leisure,0.11797752808988764,0.06164383561643835,0.5480760335922241
000000001296.jpg,P4_Mobility,P5_Urgent,0.0,0.0,0.05073956400156021
000000001296.jpg,P4_Mobility,P6_Leisure,0.0,0.0,0.11810938268899918
000000001296.jpg,P5_Urgent,P6_Leisure,0.1187214611872146,0.08152173913043478,0.7287338972091675
000000001353.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.025850962847471237
000000001353.jpg,P0_Neutral,P2_Security,0.1310344827586207,0.09174311926605505,0.6788315176963806
000000001353.jpg,P0_Neutral,P3_Child,0.09848484848484848,0.06796116504854369,0.45689383149147034
000000001353.jpg,P0_Neutral,P4_Mobility,0.13445378151260504,0.08791208791208792,0.6949490904808044
000000001353.jpg,P0_Neutral,P5_Urgent,0.15942028985507245,0.102803738317757,0.6818738579750061
000000001353.jpg,P0_Neutral,P6_Leisure,0.10891089108910891,0.075,0.6745274662971497
000000001353.jpg,P1_Chef,P2_Security,0.0,0.0,0.07297470420598984
000000001353.jpg,P1_Chef,P3_Child,0.0,0.0,0.11815453320741653
000000001353.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.030444569885730743
000000001353.jpg,P1_Chef,P5_Urgent,0.0,0.0,0.05167371779680252
000000001353.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.05701274797320366
000000001353.jpg,P2_Security,P3_Child,0.10869565217391304,0.05825242718446602,0.40052708983421326
000000001353.jpg,P2_Security,P4_Mobility,0.1532258064516129,0.08888888888888889,0.6068716645240784
000000001353.jpg,P2_Security,P5_Urgent,0.17482517482517482,0.10377358490566038,0.7512947916984558
000000001353.jpg,P2_Security,P6_Leisure,0.09090909090909091,0.036585365853658534,0.4949898421764374
000000001353.jpg,P3_Child,P4_Mobility,0.11711711711711711,0.047058823529411764,0.3881409764289856
000000001353.jpg,P3_Child,P5_Urgent,0.1037037037037037,0.058823529411764705,0.4437080919742584
000000001353.jpg,P3_Child,P6_Leisure,0.10989010989010989,0.05555555555555555,0.4772813618183136
000000001353.jpg,P4_Mobility,P5_Urgent,0.112,0.05434782608695652,0.5180945992469788
000000001353.jpg,P4_Mobility,P6_Leisure,0.12345679012345678,0.04838709677419355,0.4914422631263733
000000001353.jpg,P5_Urgent,P6_Leisure,0.09433962264150944,0.037037037037037035,0.5246888995170593
000000001425.jpg,P0_Neutral,P1_Chef,0.176056338028169,0.11711711711711711,0.6309400796890259
